TXNid,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
TXNB0000011,2,-0.425965884,0.960523045,1.141109342,-0.16825208,0.420986881,-0.029727552,0.476200949,0.260314333,-0.568671376,-0.371407197,1.34126198,0.359893837,-0.358090653,-0.1371337,0.517616807,0.401725896,-0.058132823,0.068653149,-0.033193788,0.084967672,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779,0.253844225,0.081080257,3.67
TXNB0000012,4,1.229657635,0.141003507,0.045370774,1.202612737,0.191880989,0.272708123,-0.005159003,0.08121294,0.464959995,-0.099254321,-1.416907243,-0.153825826,-0.751062716,0.167371963,0.050143594,-0.443586798,0.002820512,-0.61198734,-0.045575045,-0.219632553,-0.167716266,-0.270709726,-0.154103787,-0.780055415,0.750136936,-0.257236846,0.03450743,0.005167769,4.99
TXNB0000013,7,-0.644269442,1.417963545,1.074380376,-0.492199018,0.948934095,0.428118463,1.120631358,-3.807864239,0.615374731,1.249376178,-0.619467796,0.291474353,1.757964214,-1.32386522,0.686132504,-0.076126999,-1.222127345,-0.35822157,0.324504731,-0.156741852,1.94346534,-1.01545471,0.05750353,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8
TXNB0000014,7,-0.894286082,0.286157196,-0.113192213,-0.27152613,2.66959866,3.721818061,0.370145128,0.851084443,-0.392047587,-0.410430433,-0.705116587,-0.110452262,-0.286253632,0.07435536,-0.32878305,-0.210077268,-0.499767969,0.118764861,0.570328167,0.052735669,-0.0734251,-0.268091632,-0.20423267,1.011591802,0.37320468,-0.384157308,0.011747356,0.14240433,93.2
TXNB0000015,9,-0.338261752,1.119593376,1.044366552,-0.222187277,0.499360806,-0.246761101,0.651583206,0.069538587,-0.736727316,-0.366845639,1.017614468,0.83638957,1.006843514,-0.443522817,0.150219101,0.739452777,-0.540979922,0.47667726,0.451772964,0.203711455,-0.246913937,-0.633752642,-0.120794084,-0.385049925,-0.069733046,0.094198834,0.246219305,0.083075649,3.68
TXNB0000016,10,1.449043781,-1.176338825,0.913859833,-1.375666655,-1.971383165,-0.629152139,-1.423235601,0.048455888,-1.720408393,1.626659058,1.19964395,-0.671439778,-0.513947153,-0.095045045,0.230930409,0.031967467,0.253414716,0.854343814,-0.221365414,-0.387226474,-0.009301897,0.313894411,0.027740158,0.500512287,0.251367359,-0.129477954,0.042849871,0.016253262,7.8
TXNB0000017,10,0.384978215,0.616109459,-0.874299703,-0.094018626,2.924584378,3.317027168,0.470454672,0.538247228,-0.558894612,0.309755394,-0.259115564,-0.326143234,-0.090046723,0.362832369,0.928903661,-0.129486811,-0.809978926,0.35998539,0.707663826,0.125991576,0.049923686,0.238421512,0.009129869,0.99671021,-0.767314827,-0.492208295,0.042472442,-0.054337388,9.99
TXNB0000018,10,1.249998742,-1.221636809,0.383930151,-1.234898688,-1.485419474,-0.753230165,-0.689404975,-0.227487228,-2.094010573,1.323729274,0.227666231,-0.242681999,1.205416808,-0.317630527,0.72567499,-0.815612186,0.873936448,-0.847788599,-0.683192626,-0.102755942,-0.231809239,-0.48328533,0.084667691,0.392830885,0.161134554,-0.35499004,0.026415549,0.042422089,121.5
TXNB0000019,11,1.069373588,0.287722129,0.828612727,2.71252043,-0.178398016,0.33754373,-0.096716862,0.115981736,-0.221082566,0.460230444,-0.773656931,0.323387245,-0.011075887,-0.178485175,-0.655564278,-0.199925171,0.124005415,-0.980496202,-0.982916082,-0.153197231,-0.036875532,0.074412403,-0.071407433,0.104743753,0.548264725,0.104094153,0.021491058,0.021293311,27.5
TXNB0000020,12,-2.791854766,-0.327770757,1.641750161,1.767472744,-0.136588446,0.807596468,-0.42291139,-1.907107476,0.755712908,1.151086988,0.844555471,0.792943952,0.370448093,-0.734975106,0.40679571,-0.303057624,-0.155868715,0.778265457,2.221868014,-1.582122044,1.151663048,0.222181966,1.020586204,0.028316651,-0.232746324,-0.235557218,-0.164777512,-0.030153637,58.8
TXNB0000021,12,-0.752417043,0.345485415,2.057322913,-1.468643298,-1.15839368,-0.077849829,-0.608581418,0.003603484,-0.436166984,0.747730827,-0.793980603,-0.770406729,1.047626997,-1.066603681,1.106953457,1.660113557,-0.279265373,-0.419994141,0.432535349,0.263450864,0.499624955,1.353650486,-0.25657328,-0.065083708,-0.039124354,-0.087086473,-0.1809975,0.129394059,15.99
TXNB0000022,12,1.103215435,-0.040296215,1.267332089,1.28909147,-0.735997164,0.288069163,-0.586056786,0.189379714,0.782332892,-0.267975067,-0.45031128,0.936707715,0.708380406,-0.468647288,0.354574063,-0.246634656,-0.009212378,-0.595912406,-0.575681622,-0.113910177,-0.024612006,0.196001953,0.013801654,0.103758331,0.364297541,-0.382260574,0.092809187,0.037050517,12.99
TXNB0000023,13,-0.436905071,0.918966213,0.924590774,-0.727219054,0.915678718,-0.127867352,0.707641607,0.087962355,-0.665271354,-0.737979824,0.324097813,0.277192107,0.252624256,-0.29189646,-0.184520169,1.143173707,-0.928709263,0.680469593,0.025436462,-0.047021282,-0.194795824,-0.672637997,-0.156857514,-0.888386321,-0.342413219,-0.049026729,0.079692399,0.131023789,0.89
TXNB0000024,14,-5.401257663,-5.450147834,1.186304631,1.7362388,3.049105878,-1.763405574,-1.559737699,0.160841747,1.23308974,0.345172827,0.917229868,0.970116716,-0.266567765,-0.479129929,-0.526608503,0.472004112,-0.725480945,0.075081352,-0.406866573,-2.196848025,-0.503600329,0.984459786,2.458588576,0.042118897,-0.481630824,-0.621272014,0.39205329,0.949594246,46.8
TXNB0000025,15,1.492935977,-1.029345732,0.454794734,-1.43802588,-1.555434101,-0.720961147,-1.08066413,-0.053127118,-1.978681595,1.638076037,1.077542412,-0.632046515,-0.416957167,0.052010515,-0.042978923,-0.166432496,0.304241419,0.554432499,0.054229515,-0.387910173,-0.177649846,-0.175073809,0.040002219,0.295813863,0.332930599,-0.220384851,0.022298436,0.007602256,5
TXNB0000026,16,0.694884776,-1.361819103,1.02922104,0.834159299,-1.191208794,1.309108819,-0.878585911,0.445290128,-0.446195832,0.568520735,1.019150613,1.298328701,0.420480265,-0.372650997,-0.807979513,-2.044557483,0.515663469,0.625847298,-1.300408169,-0.13833394,-0.295582932,-0.571955007,-0.050880701,-0.304214501,0.072001006,-0.42223443,0.086553398,0.063498649,231.71
TXNB0000027,17,0.96249607,0.328461026,-0.171479054,2.109204068,1.129565571,1.696037686,0.107711607,0.521502164,-1.191311102,0.724396315,1.690329921,0.406773576,-0.936421296,0.983739419,0.710910766,-0.602231772,0.402484376,-1.737162035,-2.027612322,-0.269320967,0.143997423,0.402491661,-0.048508221,-1.371866295,0.390813885,0.199963658,0.016370643,-0.014605328,34.09
TXNB0000028,18,1.166616382,0.502120088,-0.067300314,2.261569239,0.428804195,0.089473517,0.24114658,0.138081705,-0.989162395,0.922174967,0.744785789,-0.53137725,-2.10534645,1.126870105,0.003075323,0.424424506,-0.454475292,-0.098870627,-0.816597307,-0.307168509,0.018701872,-0.061972267,-0.103854922,-0.370415177,0.603200339,0.108555873,-0.040520706,-0.011417815,2.28
TXNB0000029,18,0.247491128,0.277665627,1.185470842,-0.09260255,-1.314393979,-0.150115998,-0.94636495,-1.617935051,1.544071402,-0.829880601,-0.583199527,0.524933232,-0.453375297,0.081393088,1.555204196,-1.396894893,0.783130838,0.436621214,2.177807168,-0.230983143,1.650180361,0.200454091,-0.185352508,0.423073148,0.820591262,-0.227631864,0.336634447,0.250475352,22.75
TXNB0000030,22,-1.946525131,-0.044900505,-0.405570068,-1.013057337,2.9419677,2.955053397,-0.063063147,0.855546309,0.0499669,0.573742508,-0.081256515,-0.215745003,0.044160628,0.033897757,1.190717675,0.578843475,-0.975667025,0.044062818,0.488602869,-0.216715254,-0.579525934,-0.799228953,0.870300215,0.983421493,0.321201133,0.149649877,0.707518836,0.014599752,0.89
TXNB0000031,22,-2.074294672,-0.121481799,1.32202063,0.410007514,0.295197546,-0.95953723,0.543985491,-0.104626728,0.475664018,0.149450615,-0.856566364,-0.180523156,-0.65523293,-0.279796856,-0.211667955,-0.33332061,0.010751094,-0.488472666,0.505751034,-0.386693573,-0.403639499,-0.227404004,0.742434864,0.398534855,0.249212161,0.274404274,0.359969356,0.243231672,26.43
TXNB0000032,23,1.17328461,0.353497877,0.283905065,1.133563318,-0.172577182,-0.916053707,0.369024845,-0.327260242,-0.246651028,-0.046139302,-0.143418527,0.979350376,1.492285435,0.101417526,0.761477545,-0.014584082,-0.511640117,-0.325056355,-0.390933798,0.027877909,0.067003304,0.227811928,-0.150487225,0.435045103,0.72482458,-0.33708206,0.016368379,0.030041191,41.88
TXNB0000033,23,1.322707269,-0.174040833,0.434555031,0.576037652,-0.836758046,-0.831083411,-0.264904961,-0.220981943,-1.071424618,0.868558548,-0.64150629,-0.111315775,0.36148541,0.171945122,0.782166532,-1.35587073,-0.216935153,1.271765385,-1.240621935,-0.522950941,-0.284375572,-0.323357411,-0.037709905,0.347150939,0.559639137,-0.280158166,0.042335258,0.0288223,16
TXNB0000034,23,-0.41428881,0.905437323,1.727452944,1.473471267,0.007442741,-0.200330677,0.740228319,-0.0292474,-0.593392019,-0.346188231,-0.012142188,0.786796316,0.635953883,-0.086324472,0.076803687,-1.405919334,0.775591738,-0.942888927,0.543969462,0.097307591,0.077237434,0.457330599,-0.038499725,0.642521903,-0.183891335,-0.277464019,0.182687486,0.152664645,33
TXNB0000035,23,1.059387115,-0.175319187,1.266129643,1.186109955,-0.786001753,0.578435276,-0.767084276,0.401046149,0.699499676,-0.064737556,1.048292488,1.005618365,-0.542001579,-0.039914502,-0.218683248,0.004475682,-0.193554039,0.042387962,-0.277833721,-0.178023367,0.013676294,0.21373361,0.014461849,0.00295086,0.294638015,-0.395069505,0.081461117,0.024220349,12.99
TXNB0000036,24,1.23742903,0.061042584,0.38052588,0.761564111,-0.35977071,-0.49408415,0.006494218,-0.13386238,0.438809737,-0.207358046,-0.929182115,0.527106061,0.348675901,-0.152535139,-0.21838563,-0.191551818,-0.116580603,-0.633790817,0.348415801,-0.066351335,-0.245682498,-0.530900256,-0.044265397,0.079168029,0.50913569,0.288857834,-0.022704982,0.011836231,17.28
TXNB0000037,25,1.114008595,0.08554609,0.493702487,1.335759985,-0.300188551,-0.010753783,-0.118760015,0.188616696,0.205686849,0.082262259,1.133555671,0.626699002,-1.492780392,0.520787894,-0.674592597,-0.529108242,0.158256198,-0.398751479,-0.145708909,-0.273832367,-0.05323366,-0.004760151,-0.03147017,0.198053718,0.565007313,-0.337718126,0.029057402,0.004452631,4.45
TXNB0000038,26,-0.529912284,0.873891581,1.347247329,0.145456677,0.414208858,0.100223094,0.711206083,0.176065957,-0.286716935,-0.484687683,0.87248959,0.85163586,-0.571745303,0.100974273,-1.519771833,-0.284375978,-0.310523585,-0.404247869,-0.823373524,-0.290347611,0.046949067,0.208104855,-0.185548347,0.00103066,0.098815701,-0.552903603,-0.073288084,0.023307045,6.14
TXNB0000039,26,-0.529912284,0.873891581,1.347247329,0.145456677,0.414208858,0.100223094,0.711206083,0.176065957,-0.286716935,-0.484687683,0.87248959,0.85163586,-0.571745303,0.100974273,-1.519771833,-0.284375978,-0.310523585,-0.404247869,-0.823373524,-0.290347611,0.046949067,0.208104855,-0.185548347,0.00103066,0.098815701,-0.552903603,-0.073288084,0.023307045,6.14
TXNB0000040,26,-0.535387763,0.865267808,1.351076288,0.147575474,0.433680212,0.086982938,0.693039311,0.179742261,-0.285641861,-0.482474471,0.87179958,0.853447435,-0.571821891,0.102252103,-1.519991203,-0.285912497,-0.309633387,-0.403901993,-0.823742994,-0.283263782,0.049525687,0.206536543,-0.18710807,0.000753014,0.098116606,-0.553470969,-0.078305502,0.025427378,1.77
TXNB0000041,26,-0.535387763,0.865267808,1.351076288,0.147575474,0.433680212,0.086982938,0.693039311,0.179742261,-0.285641861,-0.482474471,0.87179958,0.853447435,-0.571821891,0.102252103,-1.519991203,-0.285912497,-0.309633387,-0.403901993,-0.823742994,-0.283263782,0.049525687,0.206536543,-0.18710807,0.000753014,0.098116606,-0.553470969,-0.078305502,0.025427378,1.77
TXNB0000042,27,-0.246045949,0.473266903,1.695737554,0.262411488,-0.010866414,-0.610835935,0.793936546,-0.247252831,0.138879114,-0.401007068,-0.812050382,-0.183524462,-0.630112887,-0.286217451,-0.337046324,-0.428105474,-0.030602108,-0.504568166,0.355180278,0.045721127,-0.194599935,-0.335132726,-0.078179606,0.392783892,-0.031157147,0.198036799,-0.175347301,-0.203616156,30.49
TXNB0000043,27,-1.452187279,1.765123739,0.611668541,1.176824984,-0.445979892,0.246826452,-0.257566156,1.092472497,-0.607524461,0.047155553,0.783726853,1.096385674,-0.268094206,0.76864804,-0.524367354,-0.808816147,0.710386067,-0.118368787,0.979287836,0.008713334,0.082279817,0.325782191,-0.069107391,0.020961997,-0.044668488,-0.243441392,0.149180325,0.120556908,1.8
TXNB0000044,29,0.996369532,-0.122588787,0.546819473,0.706579541,0.134559557,1.156995112,-0.294561331,0.407429099,0.337862664,-0.408150493,0.682646124,1.253719685,0.391917044,-0.037510858,0.795301519,-1.668210591,1.322994882,-2.830035229,-1.463431688,-0.20346121,-0.076301837,0.108866913,0.16223094,-0.575624048,0.109794915,0.373813367,0.050552197,0.005105559,20.53
TXNB0000045,46726,-0.983328346,-0.504022984,1.95949581,1.636039344,-0.944062506,2.107860699,-1.323567382,-1.058822797,1.040399352,-0.434293473,0.709031636,1.213912057,-1.382874301,-0.244642585,-1.396258105,-1.253998665,1.225939523,-0.873641217,0.528949398,-0.486676651,1.281206787,-1.135024341,-2.430848821,-0.148342767,0.653817078,-0.174143136,0.524852402,0.135762441,415.44
TXNB0000046,46727,1.227176704,-0.85473245,0.912421139,-0.638072356,-1.349812023,-0.232539146,-1.010072991,0.042690519,-0.455295534,0.529789122,-0.043180107,-0.380845897,0.615838625,-0.470407801,1.338844151,1.178862051,0.318195648,-1.330104358,-0.15489945,0.18910343,0.445412194,1.168491906,-0.12390603,0.141336959,0.345173052,-0.026829413,0.045830568,0.032619781,66
TXNB0000047,46727,-0.284472314,-3.64863094,0.842869245,0.635349551,-2.841430377,0.59168265,-0.461363213,0.01691666,0.665885315,-0.150503975,-1.44913054,0.801490219,0.845565359,-1.264197102,-1.600212409,-1.865152903,0.728423607,0.899531199,-0.415210374,1.161863685,0.007751982,-0.803555063,-0.665293361,0.510902317,-0.119703632,1.041338624,-0.115526746,0.163089578,810.01
TXNB0000048,46727,-0.677812319,1.051154136,2.583457911,0.652381786,0.325332659,-0.378323636,1.193086422,-0.744035138,-0.05146388,0.61452311,0.020467164,0.017493845,0.761416424,-0.715209234,1.435101502,-0.318152438,-0.619177319,-0.132815833,0.512604257,0.401543669,-0.304769209,-0.303295334,-0.272832539,0.369307358,0.115871218,-0.584196283,-0.406080797,-0.513477725,15
TXNB0000049,46727,1.127848583,-0.965143599,1.017228857,-0.551613957,-1.676649506,-0.458258682,-0.936620787,0.028102772,-0.767485026,0.76855443,1.368459522,0.740335452,0.651960865,-0.058988533,0.565435615,-0.708889222,-0.441734379,1.814276997,-0.872749958,-0.253446865,-0.096301254,0.009732327,-0.01152725,0.586532638,-0.007893389,1.067429023,-0.040087647,0.027724854,96
TXNB0000050,46727,-1.305192218,0.734365202,1.302976566,-1.857413137,-0.487453694,-0.085385532,-0.99842112,-2.177377873,-1.054560834,-0.059377895,1.008623964,-0.808045704,-1.019333544,-0.951082748,-0.176329262,2.218200978,0.486640078,0.001501819,0.149510853,-0.54745425,2.389437307,-0.649861104,0.066414834,-0.145799472,-0.086289662,-0.458291074,0.255599003,0.116756784,15.46
TXNB0000051,46727,1.473153315,-0.760399459,-0.043031654,-1.309643854,-0.996374941,-1.04138927,-0.409160005,-0.385716244,-2.42789253,1.407774228,0.2760924,-0.032236962,1.627640397,-0.244705948,0.357654331,-1.225226221,0.987849477,-0.969841517,-0.619784089,-0.278378146,-0.101014385,0.185647428,-0.037816728,0.435348617,0.605630531,-0.079154089,0.020455903,0.01126147,25
TXNB0000052,46727,1.146343602,0.112592809,0.714100434,1.559469929,-0.420107256,-0.026858635,-0.320414748,0.114910131,-0.556862635,0.722313789,0.817882603,0.205478301,-0.348436021,0.327086892,0.095868765,1.204807334,-0.933965836,0.448471534,-0.455507506,-0.052420212,0.116557934,0.210151639,-0.089541108,0.056786664,0.265140044,1.025378709,-0.076556952,0.002468994,28.93
TXNB0000053,46727,1.411073966,-0.429655661,0.358459959,-0.843172225,-0.63442802,-0.285707373,-0.603012851,-0.057457185,-0.832547288,0.552742487,-0.304754489,-0.309384285,0.831240836,-0.272014346,1.037967928,1.060464446,0.281702665,-1.940033189,0.43581548,0.076784929,-0.097572434,-0.322285423,0.101411055,-0.437140087,0.245351552,-0.421664172,0.031036758,0.014316945,2.56
TXNB0000054,46728,-3.29568081,1.788802998,-0.979307543,0.121191052,-5.420283602,2.543383217,-1.31764833,-0.417806734,0.694539088,-1.833348575,-0.934165518,1.449386575,-1.027865137,0.756453869,-2.447727273,0.822213271,0.982016593,0.511804008,0.852261286,-0.42152884,-1.334485885,0.728608299,0.284534881,0.109197851,-0.41771351,1.029379689,-0.179488365,-0.438816927,509.6
TXNB0000055,46729,1.239982197,-0.524192994,0.152272711,-0.254724695,-1.13073805,-1.254568929,-0.390608735,-0.215646698,-0.602654831,0.103806223,0.088077447,-0.679968559,-0.357846631,-1.253897388,0.083565038,1.039293421,1.449220675,-1.302971021,0.525800283,0.187777491,-0.023986882,-0.21105437,-0.023651629,0.643871175,0.397708913,-0.327481848,0.007904333,0.051998982,77
TXNB0000056,46729,1.008401836,-0.367903447,0.595150495,0.438348335,-0.153385312,1.177549443,-0.554719707,0.516594246,0.817214204,-0.480586822,0.371709281,0.554022361,-0.985897814,0.083221663,0.836485601,-1.685769466,1.493257872,-2.568335081,-1.350720496,-0.287071752,0.019920885,0.392800524,0.108884506,-0.57285565,0.114231706,0.753865645,0.03349976,-0.003198984,16.44
TXNB0000057,46729,-0.766264008,0.780089687,2.291610145,0.493993468,-1.13440376,-0.070247181,-0.503282821,0.507410718,-0.180946612,-0.751135393,-0.583874216,0.769990734,1.31217315,-0.344398872,0.926743402,-0.519415084,0.69597112,-0.110214293,2.075563327,0.228418712,0.006427869,0.133429579,-0.148644319,0.504367029,-0.125212621,1.273414609,-0.063799414,0.008288489,9.78
TXNB0000058,46729,1.032865623,-0.866127736,0.670047605,-0.818524238,-1.272777286,-0.303601503,-0.699195594,0.219875768,1.866935288,-0.904112327,0.653099707,0.35654494,-1.861296172,0.397168733,0.822824209,-0.03757806,-0.416345755,1.063031445,0.933990625,-0.018047202,0.073545072,0.116319091,-0.160895436,-0.015238141,0.418760181,-0.674290626,0.060340822,0.035442667,100
TXNB0000059,46729,1.443489084,-1.160992881,0.265666444,-1.548705368,-1.25734697,-0.067526711,-1.170484056,0.123375623,-1.906136168,1.598248734,0.94474124,-0.849436111,-0.744829647,0.137390265,0.275025529,-0.344598844,0.485585858,0.260046063,-0.183610832,-0.402124482,-0.166594296,-0.158744107,0.020424922,-0.351063023,0.285646884,-0.170842577,0.033115814,0.002707394,20
TXNB0000060,46730,1.104102349,-0.142443951,1.457864934,0.933593206,-1.109623358,-0.130818694,-0.648835388,0.140003803,0.793903426,-0.303029301,0.074806465,1.043247563,0.57155493,-0.47438725,0.341510434,-0.315703454,0.261409317,-0.938124462,-0.603628663,-0.112163942,-0.022604845,0.196593378,0.12000934,0.659754042,0.132482157,0.311717249,0.03864236,0.030300942,7.37
TXNB0000061,46731,-0.572830402,0.866137441,1.79152275,-0.525404053,0.781804098,-0.571837458,1.170774945,-0.465113533,-0.183371178,-0.482277293,0.101766199,-0.115009942,0.095619376,-0.862068488,0.751152867,0.156966045,-0.196106875,-0.724371479,-1.087886426,-0.002294079,-0.254129851,-0.482189325,-0.124562461,0.025764378,-0.357375256,-0.110815273,-0.392369644,-0.3206249,1.98
TXNB0000062,46732,1.037292585,-0.570780555,-0.138738362,0.360405637,-0.362940547,-0.391789828,0.251746928,-0.325509042,-1.360272453,0.647813493,-0.978343144,0.573527181,1.974528911,-0.001464293,0.632119674,-1.194093986,-0.525324619,0.771904921,-0.607251398,-0.036863411,-0.755932518,-2.113383647,0.015308099,-0.533201479,0.239278186,-0.823934556,0.011078674,0.06219106,196.93
TXNB0000063,46732,1.199602937,-0.065671852,-0.064659459,0.088000836,-0.281768011,-0.839721203,0.170066048,-0.151051354,0.117635882,-0.13803142,-0.178692207,-0.211284121,-0.870266299,0.591273581,1.201061275,-0.206826373,0.123813666,-0.967392873,-0.272691692,-0.095988178,-0.044351662,-0.190149256,-0.021152974,0.122699052,0.313755861,1.038059092,-0.096920559,-0.003204771,39.98
TXNB0000064,46733,-1.183392815,0.404789297,2.314682957,-0.458775561,0.062028886,1.973740448,-0.465628362,0.551019271,1.203300021,-0.643967295,-0.771842926,1.20094471,0.592521415,-1.426589549,-2.591193921,-0.114715943,-0.37876859,0.060243842,0.32317279,-0.165154027,0.044457884,0.407529202,-0.439292477,-1.251638731,0.093230425,0.372474129,-0.409176192,0.09791875,6.07
TXNB0000065,46733,1.238461269,0.208469854,0.635780977,0.704303243,-0.704962048,-1.19808754,0.01765053,-0.184403977,0.134509252,-0.044088919,-0.049302898,0.084565878,-0.480537593,0.405623636,1.088817657,0.241947905,-0.261988229,-0.558631105,-0.236877674,-0.152995524,-0.244979165,-0.744184317,0.186547605,0.686158809,0.149178093,0.076894814,-0.033283456,0.020591989,0.89
TXNB0000066,46733,-1.024158505,0.255775271,2.753090451,-1.798923096,-0.498652683,-0.228751299,0.027838117,0.32505336,0.457264466,-1.356049026,-0.587753851,-0.509241574,-0.849880987,-0.264959728,0.876339891,1.131895282,-0.859250368,-0.088882979,-2.201752877,-0.19243076,0.272503978,0.632233136,-0.2524092,0.124029736,0.116982714,0.933634973,-0.040596263,0.049941348,22
TXNB0000067,46734,-1.645920323,0.779377618,0.845357953,1.468218552,-0.501646895,0.011819791,-0.102696375,0.684772448,0.499596428,0.329219016,-1.147751009,-0.633081683,-1.977995042,0.408520582,0.34955408,-0.968231945,0.893433222,-0.314299067,0.640894385,0.044600309,-0.04326434,0.286218258,-0.275747939,0.080631801,-0.163147407,-0.152061209,0.662690575,0.148359009,65
TXNB0000068,46734,-1.097534105,1.219092613,0.673471275,1.221560776,0.317957221,-0.100123987,0.189294154,0.340655257,-0.332354443,-0.052239426,-1.613236004,0.317402488,0.731460409,0.064147044,-0.045234673,-0.604246026,0.167799188,-0.022712861,1.402038908,0.053111486,-0.047360484,0.012400513,-0.359302061,-0.401743828,0.087236666,-0.228786405,0.061523805,0.086777359,1
TXNB0000069,46736,-1.379980673,-0.119538019,0.267466266,1.407949973,-1.261214138,-0.702562845,1.261108238,0.11715195,-0.401275247,-0.385028531,-0.611191179,-0.867498423,-1.679449461,0.927199067,1.263676128,-0.015924087,0.104862599,0.297112116,0.279483594,-0.358850565,0.110044221,0.414207755,0.989428976,0.663468085,-0.010445037,-0.316298765,0.043295794,-0.182463145,298.62
TXNB0000070,46736,-2.697004879,-3.45652056,1.368303705,1.163657739,3.153533337,-3.014808267,-2.227577637,0.234370361,-1.70326175,1.137634748,1.166934104,0.873632592,0.668696896,0.546618625,0.190144121,-1.777493746,-0.080300025,1.794811904,-0.05066952,0.625165447,0.071522729,-0.464281235,0.881652378,0.463650394,-0.694408462,-0.577751902,0.09823631,0.279536892,23.66
